px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
13.3363	2.43734	4.83246	0.394271	0.231298	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	8.34629
13.6823	2.56472	5.04339	0.404467	0.228675	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	2.14392
13.8931	2.66886	5.00315	0.420612	0.234196	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.143922
14.1596	2.83443	5.09306	0.451429	0.25298	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	1.01684
14.4434	2.94295	5.21073	0.451882	0.237766	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	0.891545
14.581	3.00514	5.0348	0.458093	0.233411	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	1.79604
14.8412	3.15761	5.14537	0.476827	0.238024	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	4.04421
15.0458	3.36133	5.15653	0.524996	0.275335	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	1.5232
15.2536	3.52353	5.12242	0.556408	0.296104	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	2.77932
15.4916	3.7202	5.19187	0.589793	0.314717	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0.897913
15.6952	3.84716	5.15803	0.601235	0.31102	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	0.917713
15.9395	3.99514	5.20744	0.610272	0.30374	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.121533
16.1111	4.153	5.10214	0.642959	0.327467	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	1.96708
16.3188	4.35532	5.14412	0.675526	0.343931	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.558866
16.5455	4.51795	5.18221	0.686602	0.337257	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.517869
16.6776	4.68345	5.08816	0.719668	0.355199	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.463755
16.7862	4.86716	4.91915	0.772998	0.401751	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	3.48187
16.9732	5.09738	4.98475	0.809138	0.41782	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0.897365
17.1437	5.26026	4.96057	0.824953	0.413814	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	1.51438
